"CDU","Akyurt","Michelle","Rechtsanwältin","1974","23552","Lübeck"
"SPD","Benecke-Benbouabdellah","Mascha","Selbstständige Unternehmensberaterin","1976","23552","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Siegenbrink","Mandy","Fachberaterin für Teilhabe","1978","23556","Lübeck"
"FDP","Schultz","Mirko","Immobilienverwalter","1969","23552","Lübeck"
"AfD","Eisenberg","Harald","Landschaftsgärtner","1967","23558","Lübeck"
"DIE LINKE","Zunft","Katjana","Erzieherin","systemische Beraterin","1969","23564","Lübeck"
"FREIE WÄHLER","Menzel","Celina","Chemielaborantin","1999","23566","Lübeck"
"Die PARTEI","Küther","Lars","Einzelhandelskaufmann","1988","23552","Lübeck"
"dieBasis","Gutsche","Norbert","Rentner","1952","23556","Lübeck"
"Volt","Lamaack","Claas","Student","2001","23552","Lübeck"
"BfL","Schaafberg","Claus","Landespfleger","1959","23558","Lübeck"
"GAL","Jansen","Antje","Erzieherin","1950","23564","Lübeck"
"Die Unabhängigen","Bachmann","Sophie","Psychologin","1988","23552","Lübeck"
"DKP","Link","Wilfried","staatlich peprüfter Landwirt","1944","23552","Lübeck"

"CDU","Taç","Hülya","Eventmanagerin","1987","23556","Lübeck"
"SPD","Ameln","Markus","Angestellter / Gewerkschaftssekretär","1993","23556","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Mählenhoff","Silke","Angestellte im öffentlichen Dienst","1957","23558","Lübeck"
"FDP","Milleville","Patrik","Angestellter","1987","23552","Lübeck"
"AfD","Kulp","Renate","Rentnerin","1936","23570","Lübeck"
"DIE LINKE","Müller","Andreas","Verwaltungsangestellter","1977","23562","Lübeck"
"FREIE WÄHLER","Maziarz","Valerian","Friseurmeister","1957","23556","Lübeck"
"Die PARTEI","Düwel","Peter","Geschäftsführer","1980","23552","Lübeck"
"dieBasis","Ahrens","Heide-Maria","Heilpraktikerin i. R.","1953","23564","Lübeck"
"Volt","Stüttgen","Tim","Student","1969","23552","Lübeck"
"BfL","Mende","Matthias","Marineoffizier a. D.","1966","23558","Lübeck"
"GAL","Schulte-Ostermann","Juleka","M. A. Erziehungswissenschaftlerin und Dipl. Kriminologin","1978","23552","Lübeck"
"Die Unabhängigen","Haack","Lennart","Handelsfachwirt","1987","23554","Lübeck"
"DKP","Kastelik","Kirsten","Fremdsprachenkorrespondentin","1961","23552","Lübeck"

"CDU","Nehrhoff","Volker","Rentner","1954","23568","Lübeck"
"SPD","Petersohn","Kirsten","kaufmännische Angestellte","1965","23562","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Ramcke","Arne-Matz","Projektleiter","1980","23568","Lübeck"
"FDP","Stegemann","Heike","Bilanzbuchhalterin","1964","23558","Lübeck"
"AfD","Schäfer","Johannes","Zimmerer","2000","23566","Lübeck"
"DIE LINKE","Luetkens","Sascha","Auszubildender","1976","23564","Lübeck"
"FREIE WÄHLER","Schneider","Tim","Anlagenmechaniker für Sanitär Heizung und Klimatechnik","1997","23566","Lübeck"
"Die PARTEI","Schacht","Alexander","Softwareentwickler","1982","23568","Lübeck"
"dieBasis","Glodek","Brigitte","Erzieherin i. R.","1951","23566","Lübeck"
