"CDU","Akyurt","Michelle","Rechtsanwältin","1974","23552","Lübeck","01"
"SPD","Benecke-Benbouabdellah","Mascha","Selbstständige Unternehmensberaterin","1976","23552","Lübeck","01"
"BÜNDNIS 90/DIE GRUENEN","Siegenbrink","Mandy","Fachberaterin für Teilhabe","1978","23556","Lübeck","01"
"FDP","Schultz","Mirko","Immobilienverwalter","1969","23552","Lübeck","01"
"AfD","Eisenberg","Harald","Landschaftsgärtner","1967","23558","Lübeck","01"
"DIE LINKE","Zunft","Katjana","Erzieherin","systemische Beraterin","1969","23564","Lübeck","01"
"FREIE WÄHLER","Menzel","Celina","Chemielaborantin","1999","23566","Lübeck","01"
"Die PARTEI","Küther","Lars","Einzelhandelskaufmann","1988","23552","Lübeck","01"
"dieBasis","Gutsche","Norbert","Rentner","1952","23556","Lübeck","01"
"Volt","Lamaack","Claas","Student","2001","23552","Lübeck","01"
"BfL","Schaafberg","Claus","Landespfleger","1959","23558","Lübeck","01"
"GAL","Jansen","Antje","Erzieherin","1950","23564","Lübeck","01"
"Die Unabhängigen","Bachmann","Sophie","Psychologin","1988","23552","Lübeck","01"
"DKP","Link","Wilfried","staatlich peprüfter Landwirt","1944","23552","Lübeck","01"
"CDU","Taç","Hülya","Eventmanagerin","1987","23556","Lübeck","02"
"SPD","Ameln","Markus","Angestellter / Gewerkschaftssekretär","1993","23556","Lübeck","02"
"BÜNDNIS 90/DIE GRUENEN","Mählenhoff","Silke","Angestellte im öffentlichen Dienst","1957","23558","Lübeck","02"
"FDP","Milleville","Patrik","Angestellter","1987","23552","Lübeck","02"
"AfD","Kulp","Renate","Rentnerin","1936","23570","Lübeck","02"
"DIE LINKE","Müller","Andreas","Verwaltungsangestellter","1977","23562","Lübeck","02"
"FREIE WÄHLER","Maziarz","Valerian","Friseurmeister","1957","23556","Lübeck","02"
"Die PARTEI","Düwel","Peter","Geschäftsführer","1980","23552","Lübeck","02"
"dieBasis","Ahrens","Heide-Maria","Heilpraktikerin i. R.","1953","23564","Lübeck","02"
"Volt","Stüttgen","Tim","Student","1969","23552","Lübeck","02"
"BfL","Mende","Matthias","Marineoffizier a. D.","1966","23558","Lübeck","02"
"GAL","Schulte-Ostermann","Juleka","M. A. Erziehungswissenschaftlerin und Dipl. Kriminologin","1978","23552","Lübeck","02"
"Die Unabhängigen","Haack","Lennart","Handelsfachwirt","1987","23554","Lübeck","02"
"DKP","Kastelik","Kirsten","Fremdsprachenkorrespondentin","1961","23552","Lübeck","02"
"CDU","Nehrhoff","Volker","Rentner","1954","23568","Lübeck","03"
"SPD","Petersohn","Kirsten","kaufmännische Angestellte","1965","23562","Lübeck","03"
"BÜNDNIS 90/DIE GRUENEN","Ramcke","Arne-Matz","Projektleiter","1980","23568","Lübeck","03"
"FDP","Stegemann","Heike","Bilanzbuchhalterin","1964","23558","Lübeck","03"
"AfD","Schäfer","Johannes","Zimmerer","2000","23566","Lübeck","03"
"DIE LINKE","Luetkens","Sascha","Auszubildender","1976","23564","Lübeck","03"
"FREIE WÄHLER","Schneider","Tim","Anlagenmechaniker für Sanitär Heizung und Klimatechnik","1997","23566","Lübeck","03"
"Die PARTEI","Schacht","Alexander","Softwareentwickler","1982","23568","Lübeck","03"
"dieBasis","Glodek","Brigitte","Erzieherin i. R.","1951","23566","Lübeck","03"
"Volt","Carstens","Nico","Dualer Student","1999","23569","Lübeck","03"
"BfL","Möller","Regina","Rentnerin","1960","23569","Lübeck","03"
"GAL","Mentz","Katja","Geschäftsführerin. Freiberuflerin","1966","23564","Lübeck","03"
"Die Unabhängigen","Stolzenberg","Jared","Bauzeichner","1991","23562","Lübeck","03"
"DKP","Schröter","Philipp","Monteur","1995","23562","Lübeck","03"
"CDU","Schaffenberg","Ingo","Krankenpfleger","1970","23560","Lübeck","04"
"SPD","Lange","Julian","Elektromeister","1986","23566","Lübeck","04"
"BÜNDNIS 90/DIE GRUENEN","Derber","Nicole","Dipl. Psychologin","1978","23552","Lübeck","04"
"FDP","Sommer","Kolja","Schüler","2004","23568","Lübeck","04"
"AfD","Herrig","Thomas","Kaufmännischer Angestellter","1994","23552","Lübeck","04"
"DIE LINKE","Scheller","Marius","Software-Entwickler","1992","23566","Lübeck","04"
"FREIE WÄHLER","Voht","Monika","Beamtin","1964","23566","Lübeck","04"
"Die PARTEI","vom Ende","Nina","Chefin","1975","23566","Lübeck","04"
"dieBasis","Michaelis","Wolfgang","Angestellter","1969","23568","Lübeck","04"
"Volt","Normann","Helge","Journalist","1965","23570","Lübeck","04"
"BfL","Möller","Edith","Rentnerin","1938","23569","Lübeck","04"
"GAL","Bernotat","Mirja","Grundschullehrerin / Supervisorin","1973","23568","Lübeck","04"
"Die Unabhängigen","Zsiros","Kathleen","Ärztin","1972","23566","Lübeck","04"
"CDU","Lötsch","Christopher","Architekt","1968","23562","Lübeck","05"
"SPD","Gröschl-Bahr","Gabriele","Kinderkrankenschwester","Gewerkschaftssekretärin","1956","23566","Lübeck","05"
"BÜNDNIS 90/DIE GRUENEN","Schulze","Andreas","Lehrer","1978","23564","Lübeck","05"
"FDP","Hansen","Ulf","Angestellter","1966","23564","Lübeck","05"
"AfD","Roschmann","Mario","Metallbauer","1976","23556","Lübeck","05"
"DIE LINKE","Marquardt","Florenz","Rentner","1987","23560","Lübeck","05"
"FREIE WÄHLER","Borgwardt","Michael","Kfz-Meister","1968","23566","Lübeck","05"
"Die PARTEI","Seewald","Noah","Kfz-Mechantroniker für System- und Hochvolttechnik","1999","23552","Lübeck","05"
"dieBasis","Pries","Christian","Arzt","1951","23564","Lübeck","05"
"Volt","Grotrian","Anja","Unternehmensberaterin","1972","23566","Lübeck","05"
"BfL","Schäfer","Alexander","Kaufmännischer Angestellter","1998","23562","Lübeck","05"
"GAL","Stender","Michael","Ingenieur","1980","23560","Lübeck","05"
"Die Unabhängigen","Zsiros","Ivo","Arzt","1975","23566","Lübeck","05"
"CDU","Fimm","Stefanie","Physiotherapeutin","1975","23564","Lübeck","06"
"SPD","Thede","Britta","Erzieherin","1972","23560","Lübeck","06"
"BÜNDNIS 90/DIE GRUENEN","Köster","Carola","Buchhändlerin / Sachbearbeiterin","1976","23564","Lübeck","06"
"FDP","Fürter","Thorsten","Richter am Oberlandesgericht","1970","23552","Lübeck","06"
"AfD","Brietzke","Marina","Einzelhandelskauffrau","1983","23568","Lübeck","06"
